year,state,geography_standardized,party,total_voters,percent
2016,california,Lassen,Other/Unaffiliated,4089,28.634453781512605
2016,california,Lassen,Republican,7101,49.726890756302524
2016,california,Los Angeles,Democratic,2722087,51.81545303665588
2016,california,Los Angeles,Other/Unaffiliated,1556325,29.624947677011598
2016,california,Los Angeles,Republican,975015,18.55959928633252
2016,california,Madera,Democratic,19133,32.939090314361465
2016,california,Madera,Other/Unaffiliated,15101,25.99765864407947
2016,california,Madera,Republican,23852,41.06325104155907
2016,california,Marin,Democratic,90320,56.170900836468796
2016,california,Marin,Other/Unaffiliated,43876,27.28691812556361
2016,california,Marin,Republican,26599,16.542181037967598
2016,california,Mariposa,Democratic,3179,28.965831435079725
2016,california,Mariposa,Other/Unaffiliated,2883,26.26879271070615
2016,california,Mariposa,Republican,4913,44.76537585421412
2016,california,Mendocino,Democratic,24551,48.081706194551614
2016,california,Mendocino,Other/Unaffiliated,15983,31.301776306770336
2016,california,Mendocino,Republican,10527,20.616517498678053
2016,california,Merced,Democratic,44629,45.0138685763276
2016,california,Merced,Other/Unaffiliated,25150,25.366886882848355
2016,california,Merced,Republican,29366,29.619244540824045
2016,california,Modoc,Democratic,1188,22.99651567944251
2016,california,Modoc,Other/Unaffiliated,1330,25.745257452574528
2016,california,Modoc,Republican,2648,51.25822686798297
2016,california,Mono,Democratic,2284,35.29593571318188
2016,california,Mono,Other/Unaffiliated,2092,32.32885180033998
2016,california,Mono,Republican,2095,32.375212486478134
2016,california,Monterey,Democratic,93697,50.43275596654215
2016,california,Monterey,Other/Unaffiliated,49991,26.907840203244593
2016,california,Monterey,Republican,42098,22.659403830213257
2016,california,Napa,Democratic,36115,47.004542319055616
2016,california,Napa,Other/Unaffiliated,22006,28.641339007978345
2016,california,Napa,Republican,18712,24.354118672966045
2016,california,Nevada,Democratic,25138,36.52239608304639
2016,california,Nevada,Other/Unaffiliated,19619,28.50397361577242
2016,california,Nevada,Republican,24072,34.97363030118119
2016,california,Orange,Democratic,522325,34.012376187657544
2016,california,Orange,Other/Unaffiliated,432968,28.193692611339134
2016,california,Orange,Republican,580398,37.793931201003325
2016,california,Placer,Democratic,64795,28.638800613483372
2016,california,Placer,Other/Unaffiliated,60574,26.773157008428765
2016,california,Placer,Republican,100880,44.58804237808786
2016,california,Plumas,Democratic,3646,30.42136003337505
2016,california,Plumas,Other/Unaffiliated,3081,25.707133917396746
2016,california,Plumas,Republican,5258,43.8715060492282
2016,california,Riverside,Democratic,387704,38.04264421614514
2016,california,Riverside,Other/Unaffiliated,265216,26.023765368500584
2016,california,Riverside,Republican,366210,35.933590415354274
2016,california,Sacramento,Democratic,339658,43.94790810814308
2016,california,Sacramento,Other/Unaffiliated,217616,28.1570520077892
2016,california,Sacramento,Republican,215591,27.895039884067725
2016,california,San Benito,Democratic,13335,47.24702380952381
2016,california,San Benito,Other/Unaffiliated,6850,24.270124716553287
2016,california,San Benito,Republican,8039,28.482851473922903
2016,california,San Bernardino,Democratic,357645,40.27447610918235
2016,california,San Bernardino,Other/Unaffiliated,246364,27.743100091326873
2016,california,San Bernardino,Republican,284010,31.98242379949078
2016,california,San Diego,Democratic,609315,36.87075282741427
2016,california,San Diego,Other/Unaffiliated,541790,32.78469293282584
2016,california,San Diego,Republican,501465,30.34455423975989
2016,california,San Francisco,Democratic,296772,57.88154617600537
2016,california,San Francisco,Other/Unaffiliated,177672,34.65262919744189
2016,california,San Francisco,Republican,38279,7.465824626552739
2016,california,San Joaquin,Democratic,146465,43.818604470266536
2016,california,San Joaquin,Other/Unaffiliated,82154,24.578388226882034
2016,california,San Joaquin,Republican,105634,31.60300730285143
2016,california,San Luis Obispo,Democratic,59178,35.17119644353578
2016,california,San Luis Obispo,Other/Unaffiliated,45573,27.085351575268785
2016,california,San Luis Obispo,Republican,63506,37.74345198119543
2016,california,San Mateo,Democratic,205280,51.84781071305894
2016,california,San Mateo,Other/Unaffiliated,123599,31.217544604069424
2016,california,San Mateo,Republican,67049,16.93464468287163
2016,california,Santa Barbara,Democratic,96618,43.329760564706724
2016,california,Santa Barbara,Other/Unaffiliated,64644,28.990550849167875
2016,california,Santa Barbara,Republican,61721,27.6796885861254
2016,california,Santa Clara,Democratic,411479,47.01671435231313
2016,california,Santa Clara,Other/Unaffiliated,292416,33.41225079298336
2016,california,Santa Clara,Republican,171281,19.571034854703512
2016,california,Santa Cruz,Democratic,89490,56.93255124502182
2016,california,Santa Cruz,Other/Unaffiliated,43652,27.770921074395936
2016,california,Santa Cruz,Republican,24044,15.296527680582239
2016,california,Shasta,Democratic,25268,24.772549019607844
2016,california,Shasta,Other/Unaffiliated,28335,27.77941176470588
2016,california,Shasta,Republican,48397,47.44803921568627
2016,california,Sierra,Democratic,653,28.932210899424014
2016,california,Sierra,Other/Unaffiliated,660,29.24235711120957
2016,california,Sierra,Republican,944,41.825431989366415
2016,california,Siskiyou,Democratic,8655,31.337122995039646
2016,california,Siskiyou,Other/Unaffiliated,8221,29.765740975415472
2016,california,Siskiyou,Republican,10743,38.897136029544875
2016,california,Solano,Democratic,107996,48.013159649668786
2016,california,Solano,Other/Unaffiliated,64398,28.630240519272665
2016,california,Solano,Republican,52536,23.356599831058553
2016,california,Sonoma,Democratic,145815,53.327701220047395
2016,california,Sonoma,Other/Unaffiliated,73446,26.86079171421048
2016,california,Sonoma,Republican,54171,19.811507065742124
2016,california,Stanislaus,Democratic,94868,39.34080881133265
2016,california,Stanislaus,Other/Unaffiliated,56160,23.288989151710183
2016,california,Stanislaus,Republican,90116,37.370202036957174
2016,california,Sutter,Democratic,14401,31.536187452096794
2016,california,Sutter,Other/Unaffiliated,12309,26.954998357604293
2016,california,Sutter,Republican,18955,41.508814190298914
2016,california,Tehama,Democratic,8903,27.347565658117034
2016,california,Tehama,Other/Unaffiliated,9111,27.986484410996777
2016,california,Tehama,Republican,14541,44.66594993088619
2016,california,Trinity,Democratic,2708,33.5189998762223
2016,california,Trinity,Other/Unaffiliated,2735,33.85319965342246
2016,california,Trinity,Republican,2636,32.62780047035524
2016,california,Tulare,Democratic,50542,32.81948051948052
2016,california,Tulare,Other/Unaffiliated,38198,24.803896103896104
2016,california,Tulare,Republican,65260,42.37662337662338
2016,california,Tuolumne,Democratic,9765,31.096745430227372
2016,california,Tuolumne,Other/Unaffiliated,8044,25.61620278963123
2016,california,Tuolumne,Republican,13593,43.2870517801414
2016,california,Ventura,Democratic,182805,41.269801851672085
2016,california,Ventura,Other/Unaffiliated,117041,26.423012929195327
2016,california,Ventura,Republican,143105,32.30718521913259
2016,california,Yolo,Democratic,54441,48.94804984625344
2016,california,Yolo,Other/Unaffiliated,33285,29.926633220046394
2016,california,Yolo,Republican,23496,21.125316933700166
2016,california,Yuba,Democratic,9591,28.465008606873628
2016,california,Yuba,Other/Unaffiliated,11626,34.5046595833086
2016,california,Yuba,Republican,12477,37.030331809817774
2016,colorado,Adams,Democratic,86602,36.0713913822188
2016,colorado,Adams,Other/Unaffiliated,91755,38.21771455942687
2016,colorado,Adams,Republican,61728,25.710894058354334
2016,colorado,Alamosa,Democratic,3312,38.73684210526316
2016,colorado,Alamosa,Other/Unaffiliated,2674,31.274853801169588
2016,colorado,Alamosa,Republican,2564,29.98830409356725
2016,colorado,Arapahoe,Democratic,124665,34.19854992552115
2016,colorado,Arapahoe,Other/Unaffiliated,132090,36.23540255614718
2016,colorado,Arapahoe,Republican,107778,29.566047518331672
2016,colorado,Archuleta,Democratic,1995,23.04759704251386
2016,colorado,Archuleta,Other/Unaffiliated,2495,28.823937153419593
2016,colorado,Archuleta,Republican,4166,48.12846580406654
2016,colorado,Baca,Democratic,608,23.861852433281005
2016,colorado,Baca,Other/Unaffiliated,636,24.960753532182103
2016,colorado,Baca,Republican,1304,51.177394034536896
2016,colorado,Bent,Democratic,810,32.806804374240585
2016,colorado,Bent,Other/Unaffiliated,731,29.607128392061565
2016,colorado,Bent,Republican,928,37.586067233697854
2016,colorado,Boulder,Democratic,96391,45.30461266579559
2016,colorado,Boulder,Other/Unaffiliated,79368,37.30365384796157
2016,colorado,Boulder,Republican,37003,17.391733486242845
2016,colorado,Broomfield,Democratic,13141,30.753568921132697
2016,colorado,Broomfield,Other/Unaffiliated,16988,39.756611280131054
2016,colorado,Broomfield,Republican,12601,29.48981979873625
2016,colorado,Chaffee,Democratic,3504,27.34722547412784
2016,colorado,Chaffee,Other/Unaffiliated,4645,36.25224381487552
2016,colorado,Chaffee,Republican,4664,36.40053071099664
2016,colorado,Cheyenne,Democratic,159,12.470588235294118
2016,colorado,Cheyenne,Other/Unaffiliated,289,22.666666666666664
2016,colorado,Cheyenne,Republican,827,64.86274509803923
2016,colorado,Clear Creek,Democratic,2144,31.01851851851852
2016,colorado,Clear Creek,Other/Unaffiliated,2697,39.01909722222222
2016,colorado,Clear Creek,Republican,2071,29.962384259259263
2016,colorado,Conejos,Democratic,2398,48.68047097036135
2016,colorado,Conejos,Other/Unaffiliated,752,15.265935850588713
2016,colorado,Conejos,Republican,1776,36.05359317904993
2016,colorado,Costilla,Democratic,1561,64.50413223140495
2016,colorado,Costilla,Other/Unaffiliated,478,19.75206611570248
2016,colorado,Costilla,Republican,381,15.74380165289256
2016,colorado,Crowley,Democratic,433,23.317178244480345
2016,colorado,Crowley,Other/Unaffiliated,464,24.98653742595584
2016,colorado,Crowley,Republican,960,51.69628432956381
2016,colorado,Custer,Democratic,488,14.16134648868253
2016,colorado,Custer,Other/Unaffiliated,792,22.98316889146837
2016,colorado,Custer,Republican,2166,62.8554846198491
2016,colorado,Delta,Democratic,3569,18.384587647452737
2016,colorado,Delta,Other/Unaffiliated,6467,33.3127285839386
2016,colorado,Delta,Republican,9377,48.30268376860866
2016,colorado,Denver,Democratic,197859,49.497046823052045
2016,colorado,Denver,Other/Unaffiliated,142890,35.745824150258045
2016,colorado,Denver,Republican,58990,14.757129026689917
2016,colorado,Dolores,Democratic,344,23.756906077348066
2016,colorado,Dolores,Other/Unaffiliated,409,28.245856353591158
2016,colorado,Dolores,Republican,695,47.99723756906077
2016,colorado,Douglas,Democratic,43405,20.51722018964425
2016,colorado,Douglas,Other/Unaffiliated,70692,33.41558183726141
2016,colorado,Douglas,Republican,97457,46.067197973094345
